////Name and icon
Name Mk2Frag
ShortName 44_Mk2Frag
Icon Mk2Grenade
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
StackSize 1

////Visuals
Model W44.Mk2Frag
Texture Skin44_Mk2Frag
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 3
//ExplodeParticleType <particleType>
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown true
////Throwing
ThrowDelay 30
//ThrowSound <sound>
ThrowSound GrenadeThrowModern
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.8
HitEntityDamage 1
ThrowSpeed 2.0
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 80
DetonateWhenShot false
Remote false
//DespawnTime 0
PrimeDelay 0
////Detonation
FireRadius 0.0
ExplosionRadius 3.0
ExplosionBreaksBlocks true
//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
////Misc
MeleeDamage 4


////Detonation
ExplosionRadius 4.0

ExplosionDamageVsPlayer 2.10
ExplosionDamageVsPlane 5.0
ExplosionDamageVsVehicle 0.01
ExplosionBreaksBlocks false


Description American Grenade_5 Meter Kill Radius
