////Name and icon
Name Type 39 Stick Grenade
ShortName 44_Smokestielhandgranate
Icon StielhandgranateSmoke
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
StackSize 1
smokerino true
////Visuals
Model W44.Stielhandgranate
Texture Skin44_SmokeStielhandgranate
TrailParticles false
TrailParticleType flansmod.fmflame
ExplodeParticles 5
ExplodeParticleType flansmod.Smoker1
SmokeTime 250
SmokeRadius 5
ThrowSound GrenadeThrowModern
SmokeParticleType flansmod.Smoker1
SmokeEffect 15 25 0
SmokeEffect 2 25 2
SpinWhenThrown true
////Throwing
ThrowDelay 30
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.1
HitEntityDamage 1
ThrowSpeed 3.0
FallSpeed 1.0
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 110
DetonateWhenShot false
Remote false
//DespawnTime 0
PrimeDelay 0
////Detonation
FireRadius 0.0
ExplosionRadius 0.0
ExplosionBreaksBlocks false
//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
////Misc
MeleeDamage 4

Description Chinese/German Smoke Grenade_Chinese Model_4.5 Second Fuse
