////Name and icon
Name M67 Grenade
ShortName m67
Icon M67
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
ItemID 23857
StackSize 1
////Visuals
Model NewAge.M67
Texture SkinM67
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown true
////Throwing
ThrowSound GrenadeThrowModern
ExplodeParticles Burst3
NumExplodeParticles 
ThrowDelay 30
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.8
HitEntityDamage 1
ThrowSpeed 2.5
FallSpeed 1.1
BreaksGlass true
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger -1.0
LivingProximityTrigger -1.0
Fuse 100
DetonateWhenShot false
Remote false
//DespawnTime 0
PrimeDelay 0
////Detonation
FireRadius 0.0
Description American Hand Grenade_5 Meter Kill Radius_5 Second Fuse 
ExplosionRadius 4.0
ExplosionBreaksBlocks true
ExplosionDamageVsPlayer 2.15
ExplosionsDamageVsVehicle 0.01
ExplosionBreaksBlocks false

//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
////Misc
MeleeDamage 4
