////Name and icon
Name Land Mine
ShortName Mine
Icon WW2Mine
//Colour in Red, Green, Blue, each going up to 255
Colour 255 255 255
////Item and recipe
ItemID 23698
StackSize 1
////Visuals
Model W44.LandMine
Texture Skin44_LandMine
ModelScale 0.7
TrailParticles false
//TrailParticleType <particleType>
ExplodeParticles 0
//ExplodeParticleType <particleType>
SmokeTime 0
//SmokeParticleType <particleType>
SpinWhenThrown false
////Throwing
ThrowDelay 30
//ThrowSound <sound>
//DropItemOnThrow <itemID.damage>
////Physics
DetonateOnImpact false
Bounciness 0.0
HitEntityDamage 0
ThrowSpeed 0.0
FallSpeed 1.0
BreaksGlass false
PenetratesBlocks false
HitBoxSize 0.5
Sticky false
//BounceSound <sound>
////Detonation conditions
VehicleProximityTrigger 3.0
LivingProximityTrigger -1.0
Fuse 0
DetonateWhenShot false
Remote false
DespawnTime 12000
PrimeDelay 100
////Detonation
FireRadius 0.0
ExplosionRadius 8.0
ExplosionDamageVsPlayer 1.30
ExplosionDamageVsPlane 13.0
ExplosionDamageVsVehicle 50.0
ExplosionBreaksBlocks false
//DropItemOnDetonate <itemID.damage>
//Detonate Sound <sound>
////Misc
MeleeDamage 2
